transaction id,timestamp,transaction type,merchant_category,amount (INR),transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend
TXN0000000001,2024-10-08 15:17:28,P2P,Entertainment,868,SUCCESS,26-35,18-25,Delhi,Axis,SBI,Android,4G,0,15,Tuesday,0
TXN0000000002,2024-04-11 06:56:00,P2M,Grocery,1011,SUCCESS,26-35,26-35,Uttar Pradesh,ICICI,Axis,iOS,4G,0,6,Thursday,0
TXN0000000003,2024-04-02 13:27:18,P2P,Grocery,477,SUCCESS,26-35,36-45,Karnataka,Yes Bank,PNB,Android,4G,0,13,Tuesday,0
TXN0000000004,2024-01-07 10:09:17,P2P,Fuel,2784,SUCCESS,26-35,26-35,Delhi,ICICI,PNB,Android,5G,0,10,Sunday,1
TXN0000000005,2024-01-23 19:04:23,P2P,Shopping,990,SUCCESS,26-35,18-25,Delhi,Axis,Yes Bank,iOS,WiFi,0,19,Tuesday,0
TXN0000000006,2024-10-07 22:32:07,P2P,Food,91,SUCCESS,36-45,18-25,Karnataka,IndusInd,Yes Bank,Android,3G,0,22,Monday,0
TXN0000000007,2024-02-08 10:25:57,P2P,Other,314,SUCCESS,36-45,18-25,Telangana,HDFC,IndusInd,Android,4G,0,10,Thursday,0
TXN0000000008,2024-10-27 18:47:02,P2P,Utilities,264,SUCCESS,46-55,36-45,Maharashtra,Yes Bank,SBI,Android,5G,0,18,Sunday,1
TXN0000000009,2024-11-21 09:39:16,P2P,Other,887,SUCCESS,46-55,36-45,Maharashtra,Kotak,HDFC,Android,4G,0,9,Thursday,0
TXN0000000010,2024-11-11 15:58:56,P2M,Grocery,3260,SUCCESS,46-55,18-25,Delhi,SBI,HDFC,Android,4G,0,15,Monday,0
TXN0000000011,2024-04-07 20:14:41,P2P,Food,587,SUCCESS,26-35,46-55,Karnataka,SBI,SBI,Android,4G,0,20,Sunday,1
TXN0000000012,2024-12-24 10:44:57,P2M,Other,518,SUCCESS,26-35,18-25,Gujarat,Yes Bank,SBI,Android,4G,0,10,Tuesday,0
TXN0000000013,2024-11-16 20:09:14,P2P,Transport,73,SUCCESS,26-35,18-25,Uttar Pradesh,Axis,Kotak,Android,4G,0,20,Saturday,1
TXN0000000014,2024-04-10 00:51:10,Bill Payment,Grocery,430,SUCCESS,56+,36-45,Gujarat,Yes Bank,Yes Bank,Android,4G,0,0,Wednesday,0
TXN0000000015,2024-02-03 12:35:08,P2P,Transport,544,SUCCESS,18-25,46-55,Uttar Pradesh,IndusInd,Axis,Android,5G,0,12,Saturday,1
TXN0000000016,2024-11-09 15:21:26,P2M,Grocery,1346,SUCCESS,18-25,18-25,Rajasthan,SBI,SBI,Android,5G,0,15,Saturday,1
TXN0000000017,2024-01-25 07:27:23,P2P,Food,171,SUCCESS,46-55,18-25,Delhi,HDFC,SBI,Android,5G,0,7,Thursday,0
TXN0000000018,2024-05-19 18:38:15,P2M,Healthcare,189,SUCCESS,18-25,18-25,Gujarat,SBI,PNB,iOS,5G,0,18,Sunday,1
TXN0000000019,2024-11-11 22:08:37,P2P,Healthcare,799,SUCCESS,26-35,18-25,Karnataka,ICICI,SBI,Android,4G,0,22,Monday,0
TXN0000000020,2024-06-13 18:25:14,P2P,Utilities,450,SUCCESS,26-35,36-45,Tamil Nadu,Yes Bank,IndusInd,iOS,WiFi,0,18,Thursday,0
TXN0000000021,2024-05-19 10:41:07,Bill Payment,Food,1341,SUCCESS,36-45,26-35,Karnataka,SBI,ICICI,Android,WiFi,0,10,Sunday,1
TXN0000000022,2024-11-02 17:13:53,Recharge,Entertainment,280,SUCCESS,26-35,26-35,Maharashtra,SBI,PNB,Android,4G,0,17,Saturday,1
TXN0000000023,2024-10-18 04:35:41,P2P,Shopping,397,SUCCESS,18-25,26-35,Delhi,Axis,SBI,Android,5G,0,4,Friday,0
TXN0000000024,2024-01-21 07:57:52,P2M,Grocery,1847,SUCCESS,18-25,46-55,Gujarat,HDFC,Yes Bank,Android,5G,0,7,Sunday,1
TXN0000000025,2024-01-24 10:43:32,Bill Payment,Grocery,690,SUCCESS,26-35,26-35,Tamil Nadu,Yes Bank,PNB,iOS,5G,0,10,Wednesday,0
TXN0000000026,2024-07-01 12:01:59,Bill Payment,Entertainment,218,SUCCESS,18-25,36-45,Karnataka,Axis,Yes Bank,Android,4G,0,12,Monday,0
TXN0000000027,2024-08-28 21:10:26,P2P,Food,1276,SUCCESS,18-25,18-25,Karnataka,Kotak,HDFC,Android,5G,0,21,Wednesday,0
TXN0000000028,2024-11-09 18:49:43,P2P,Grocery,146,SUCCESS,26-35,36-45,Delhi,PNB,HDFC,iOS,4G,0,18,Saturday,1
TXN0000000029,2024-09-09 15:24:19,P2P,Grocery,1755,SUCCESS,36-45,36-45,Delhi,SBI,IndusInd,Web,WiFi,0,15,Monday,0
TXN0000000030,2024-10-18 17:43:42,Bill Payment,Transport,165,SUCCESS,18-25,26-35,Rajasthan,SBI,SBI,Android,4G,0,17,Friday,0
TXN0000000031,2024-12-20 16:15:02,P2P,Healthcare,1495,SUCCESS,26-35,36-45,Gujarat,SBI,HDFC,Android,4G,0,16,Friday,0
TXN0000000032,2024-12-17 16:45:04,P2P,Grocery,394,SUCCESS,18-25,18-25,Gujarat,Yes Bank,SBI,Android,5G,0,16,Tuesday,0
TXN0000000033,2024-05-11 16:47:57,Recharge,Shopping,1693,SUCCESS,26-35,36-45,Telangana,SBI,IndusInd,Android,5G,0,16,Saturday,1
TXN0000000034,2024-05-25 13:30:27,P2M,Food,144,SUCCESS,18-25,36-45,Maharashtra,PNB,PNB,Android,WiFi,0,13,Saturday,1
